global index i, global index j, local index i, local index j, tx, ty, tz, r11, r12, r13, r21, r22, r23, r31, r32, r33, number of matches 
66, 67, 32, 35, 0.00448927706776092, -0.0005084834748139076, -0.009894964808645448, 0.9999885864571263, -0.004340295871366202, -0.0019971948395796696, 0.004338876912062245, 0.9999903319422158, -0.0007142613238158332, 0.0020002756360593277, 0.0007055875889851517, 0.9999977505192368, 1002
67, 68, 35, 40, 0.0057713131808044575, 0.0003556258518135596, 0.0037106555941782728, 0.999986315532975, 0.0005232549164139655, -0.005205281075775703, -0.0005358336285372638, 0.9999969392905449, -0.0024154278844514465, 0.005204001259406784, 0.0024181839952547054, 0.9999835352429843, 1037
68, 69, 40, 45, -0.010087482442272235, -0.012375473891589012, -0.0004777451049945618, 0.9997014187012898, -0.008180705544969436, 0.023024975644171553, 0.007952592588488173, 0.9999185607636262, 0.00998138825611925, -0.02310475530599064, -0.009795299749592428, 0.9996850615994347, 968
69, 70, 45, 53, 0.0050169877596931275, 0.01700250344139931, -0.003019280330441924, 0.999999166730623, -0.0012277349383550719, 0.0003990049885992124, 0.0012280010264905318, 0.9999990233483711, -0.0006673198507486964, -0.00039818530701447093, 0.000667809273226779, 0.9999996977395723, 813
70, 71, 53, 55, 0.003016442125202602, 0.0029980374023693126, 0.01980545237671227, 0.9999831759118764, 0.0019001353012838916, -0.005480636736183557, -0.0019387447747271245, 0.9999732830045422, -0.007048017154896355, 0.005467098123836488, 0.007058524134269184, 0.9999601432432944, 906
71, 72, 55, 60, 0.04312206103146027, 0.010474223824788575, 0.017424332168028987, 0.9996945355461392, -0.005184372923167871, 0.024165220391767186, 0.004974680034472278, 0.9999495227423438, 0.008729520371301026, -0.024209257686756417, -0.008606639573717288, 0.9996698643039632, 776
72, 73, 60, 65, 0.047699501886496444, 0.15963652465662762, -0.012746329739302857, 0.9999642943729317, -0.008422771082804413, -0.0006833055915756357, 0.008446202773145258, 0.998750898597386, 0.04924737769291934, 0.0002676526848669103, -0.049251390621999784, 0.9987863780027437, 611
73, 74, 65, 70, -0.013312734030837837, 0.09310118195944342, -0.012040876811589371, 0.9999441302029617, 0.0009712814351352203, -0.010525829421778737, -0.0003734162671196475, 0.9983938259721863, 0.0566535861257792, 0.01056394968437688, -0.05664649038549014, 0.9983384086040528, 590
74, 75, 70, 75, -0.04405929484419557, 0.07249496510259562, -0.018289279570592665, 0.999964257729222, -0.00023147090716416012, 0.008451608442468912, 0.0003268252858672832, 0.9999362942620673, -0.011282756873955092, -0.008448458396547506, 0.011285115801948985, 0.9999006299188226, 640
75, 76, 75, 81, -0.027147101499206714, 0.06964834923727385, 0.019552848358091013, 0.9998053332552919, -0.0062288186738048805, 0.018721576114291986, 0.006955189151024592, 0.9992155015735008, -0.03898726406264293, -0.018464044468854964, 0.03910988664194377, 0.9990643101566117, 762
76, 77, 81, 85, 0.02404030338191376, 0.04722263332870651, 0.011918440060614627, 0.9995610664019758, 0.009835101444608222, -0.0279453987790323, -0.010594200932730991, 0.9995753188753138, -0.027146727278097152, 0.027666540078979864, 0.027430870837228682, 0.9992407667250021, 925
77, 78, 85, 93, 0.03565221961035367, 0.3070561927523953, -0.015581292988537982, 0.9999989509684789, 0.0013014618841681682, 0.0006358135777401097, -0.0013239606139985132, 0.9993228951183342, 0.03676953114472606, -0.0005875289219792148, -0.03677033436446364, 0.9993235698813929, 466
78, 79, 93, 95, -0.006395320620177965, 0.044423779648078386, -0.0005186284937615551, 0.9999955126897183, 0.002501644108438518, 0.001648143556456478, -0.0024574961519353068, 0.9996519960987177, -0.026264946383203334, -0.001713275544446904, 0.026260778217791297, 0.9996536581308073, 893
79, 80, 95, 100, -0.01259674742007442, 0.19128554046576723, 0.0017752111794279576, 0.9999897180092103, -0.00199317115706854, -0.004073222876132269, 0.0021196354730917367, 0.9995083204821597, 0.03128297352224434, 0.0040088678353408045, -0.03129128561869674, 0.9995022683431029, 613
80, 81, 100, 105, -0.006893545255347433, 0.1190683751994974, -0.0023405954602931374, 0.9999730212673417, -0.007232395569093375, -0.001284208626710536, 0.007200421337679822, 0.9997010549138268, -0.023365674326705072, 0.0014528145183213249, 0.023355797107226246, 0.9997261605417062, 595
81, 82, 105, 110, -0.016031294754960377, 0.23002919153068133, -0.015405831879227352, 0.9999679115612513, 0.007924907171738754, -0.0011711934720132265, -0.007929033727955516, 0.9999622214079638, -0.0035617665548781504, 0.001142922556658134, 0.003570938695891023, 0.9999929710377268, 464
82, 83, 110, 118, 0.0001434724297943036, 0.08747425951561122, -0.013796917219426745, 0.9999656090059338, -0.007130659152050479, -0.0042349150462553204, 0.007179485368123463, 0.9999066134896897, 0.01162838292408263, 0.004151601527196419, -0.011658387523044173, 0.9999234201703258, 321
83, 84, 118, 120, 0.02108291842087162, -0.5396110317643064, -0.1006070644234664, 0.9999324403339915, 0.00413438066492329, -0.010863777622247226, -0.004442788604190902, 0.999583360915706, -0.028519575906379217, 0.010741340564687608, 0.028565914600774896, 0.9995341975769987, 309
84, 85, 120, 125, -0.006427643400877716, -0.8546558255268201, 0.09463569895123519, 0.9998467112387025, -0.016852853749091425, -0.004747140788111042, 0.017033205930382125, 0.9990167170416457, 0.040932492802970025, 0.004052643690679347, -0.04100707733847617, 0.9991506371349981, 133
85, 86, 125, 133, -0.006180810904723087, -0.16139224038204827, 0.015772731920583212, 0.9998573787668923, 0.011759656448206531, 0.012121576036946257, -0.010949937462844504, 0.9978362749323828, -0.06482952489896458, -0.012857721219528514, 0.06468754833262605, 0.9978227297951049, 138
86, 87, 133, 135, -0.005594745917320372, -0.0011560312796440129, 0.009193314772060084, 0.9999999551325285, -0.00012205949380642388, -0.0002735624634685785, 0.00012212162254077532, 0.9999999667548887, 0.00022710467006310407, 0.0002735347340931099, -0.000227138067765451, 0.9999999367935218, 1072
87, 88, 135, 140, -0.014868079523681988, -0.0019869599274148224, 0.010651388513391832, 0.9999997250670819, -0.0005941435021489652, 0.00044368824597106, 0.0005942065594150679, 0.9999998133769293, -0.0001420023651564229, -0.0004436037933859042, 0.0001422659685815065, 0.9999998914880285, 1092
89, 90, 4, 5, -0.010265573051799327, 0.0007890868428887338, -0.002869602892412405, 0.9999864956476087, 0.0007010144277905829, -0.00514947581673311, -0.0007085259991230088, 0.999998687531346, -0.0014570265933843535, 0.00514844766154387, 0.0014606554546823408, 0.9999856798836266, 778
90, 91, 5, 10, -0.04070202083827986, 0.005054126771765301, 0.014329303010472964, 0.999976780358982, -0.005349067336420259, 0.004222111025873081, 0.005345440685156144, 0.9999853347621964, 0.0008697841223747504, -0.004226701641449732, -0.000847194882245177, 0.9999907085838676, 750
91, 92, 10, 16, -0.017812999371918804, 0.011976623406426197, 0.0042921371436138115, 0.9999828551963883, 0.0033991625715685944, -0.0047681240642788916, -0.0033632990883663465, 0.9999661474802196, 0.007509468210778826, 0.004793488554539225, -0.007493302835102855, 0.9999604356573809, 734
92, 93, 16, 20, 0.023537651130805262, 0.017525411057933964, 0.0285483898806059, 0.9999650475033149, 0.007918570923947228, -0.0026832827312031123, -0.007942192100141203, 0.9999287655238381, -0.008909851997532555, 0.0026125382939991043, 0.008930851722870389, 0.9999567063284124, 725
93, 94, 20, 25, -0.11049617715767966, 0.00011859481541117375, -0.014795196736027551, 0.9994767900347342, 0.025151829961701334, 0.0203354771628587, -0.025175118371390852, 0.9996826603211947, 0.0008899820927384128, -0.020306639230802035, -0.0014014644899523027, 0.9997928166877544, 543
94, 95, 25, 30, -0.26118006778676683, -0.04061409501968857, 0.0630408223504909, 0.986537760216064, -0.010125410568082338, 0.16321986315611006, 0.008454534217318193, 0.9999045412538723, 0.010928368178794437, -0.16331493660727944, -0.009401299947924756, 0.9865291921885785, 495
95, 96, 30, 35, -0.31840198980210044, 0.08067857191090716, 0.11829833747565104, 0.9657654364109638, 0.03748465347504318, 0.25669441479665617, -0.028202705204156197, 0.9988116734648594, -0.03974730644326354, -0.25787929202072185, 0.031147097845274974, 0.9656749603477908, 379
96, 97, 35, 40, -0.4168238908345432, 0.0730988502530017, 0.1484465221819623, 0.9527712640624525, -0.013736494017480557, 0.3033780267404747, 0.02520902962159056, 0.9991061626293534, -0.03393199996442358, -0.30264074940822855, 0.039977300160911125, 0.9522659251855387, 251
97, 98, 40, 45, -0.39701019585221353, -0.014886724417696383, 0.15475368869192924, 0.9936106349648801, -0.025450040939646666, 0.10995545234711343, 0.024218004606582275, 0.9996282235082532, 0.01252609350952842, -0.11023336308742264, -0.009783158074171464, 0.9938575830975643, 196
98, 99, 45, 50, -0.28388010594190694, -0.02969310940304071, 0.08406002131371666, 0.9777302042898843, -0.007070910748546301, 0.20974663248893238, 0.005565842435313092, 0.9999543615571006, 0.007765062840530348, -0.209791966045524, -0.006424719769624729, 0.977724937780885, 412
99, 100, 50, 56, -0.1280857133949335, -0.009117975433021785, 0.30693796152048475, 0.9998140512838872, 0.007197100562509139, 0.01789034932004229, -0.0074295416019001526, 0.9998884112392658, 0.012960207598727609, -0.017795077040733707, -0.01309071475930985, 0.9997559544309824, 400
100, 101, 56, 60, -0.2897844754013953, 0.041270019975730717, 0.005757542054488676, 0.9861204937698276, -0.010398611073426786, 0.16570528251958372, 0.01094268655534135, 0.9999373165784988, -0.0023707645902566205, -0.16567024288659365, 0.004151120515532275, 0.9861724691048531, 515
101, 102, 60, 65, -0.3317382322691344, -0.04378571973566118, 0.029242526485839436, 0.9657819684473806, 0.2562007319524784, 0.040328332086975144, 0.2562169787886626, -0.9666071118312151, 0.00485295144493362, 0.040224982315883166, 0.005645910407641783, -0.9991746966838961, 481
102, 103, 65, 71, -0.13304853241218856, 0.025856602760677985, 0.002434938139992198, 0.9997139663907357, -0.0006384841240691584, 0.023907692095350652, 0.0006427965386310301, 0.9999997784948189, -0.0001726931465809757, -0.023907576537840397, 0.00018801153226282894, 0.9997141553642975, 649
103, 104, 71, 75, -0.10849514166442104, -0.02569436900408702, -0.04416303038841664, 0.998799769046828, 0.019726701367069305, 0.044831669667513625, -0.01939253200304221, 0.9997809200832, -0.007876645231405806, -0.04497722817730671, 0.006997791849213014, 0.9989635027641007, 772
104, 105, 75, 80, -0.20189658774417002, -0.08200813392369465, 0.09210369297804057, 0.988138765926279, -0.0164054506123866, 0.1526847748267505, 0.012591651806378954, 0.9995849275503195, 0.0259118297117231, -0.1530464948258459, -0.02368192991348166, 0.9879351884699195, 543
